id	decision	reason
rxn01915	keep Pi	Nucleoside phosphorylase (EC 2.4.2.16), name explicitly "orthophosphate ribosyltransferase"; Pi is genuine substrate
rxn04272	RETRACT	Acyl-CoA ligase (EC 6.2.1.-), AMP already in equation => true donor is ATP+CoA releasing AMP+PPi, not Pi
rxn04273	RETRACT	Same enzyme class as rxn04272 (EC 6.2.1.-, AMP-forming acid-thiol ligase); needs PPi not Pi
rxn06117	RETRACT	ATP:polyphosphate phosphotransferase (polyphosphate kinase); missing phosphate goes to untracked polyP chain, not free Pi
rxn06118	RETRACT	Name "Polyphosphate:D-glucose 6-phosphotransferase" - polyphosphate is the phosphoryl donor, not ATP/Pi
rxn06120	RETRACT	Same polyphosphate glucokinase as rxn06118
rxn06121	RETRACT	Name "...:polyphosphate phosphotransferase" (EC 2.7.4.17); polyphosphate is the acceptor/donor, not free Pi
rxn11769	RETRACT	Generic NMP kinase EC 2.7.4.-, no nucleotide named; donor unclear
rxn11770	RETRACT	Generic NDP kinase EC 2.7.4.-, no nucleotide named; donor unclear
rxn15314	RETRACT	Name "Polyphosphate:D-glucose 6-phosphotransferase" (EC 2.7.1.63); polyphosphate donor, not Pi
rxn17702	RETRACT	Name "dolichylpyrophosphate:polyphosphate phosphotransferase"; polyphosphate acceptor, not free Pi
rxn31774	RETRACT	Terpene lyase (EC 4.2.3.-); "geranyl phosphate"/PPi pattern reflects a mislabeled diphosphate substrate, not a Pi/PPi/NTP donor issue
rxn32442	RETRACT	Geranyltranstransferase (EC 2.5.1.10); same geranyl-phosphate mislabeling as terpene synthases, not a true donor swap
rxn33850	keep Pi	Pyruvate carboxylase EC 6.4.1.1; canonical ATP->ADP+Pi biotin-carboxylation, ATP/ADP already correctly present
rxn33855	keep Pi	Succinate-CoA ligase GDP-forming EC 6.2.1.4; genuine Pi-releasing substrate-level phosphorylation, GTP/GDP already correct
rxn33854	keep Pi	Succinate-CoA ligase ADP-forming EC 6.2.1.5; genuine Pi-releasing mechanism (distinct from AMP/PPi-forming ligases), ATP/ADP already correct
rxn33871	keep Pi	Name explicitly "Pyruvate Phosphate dikinase" (EC 2.7.9.1); free phosphate is a named substrate
