id	decision	reason
rxn02626	methyl (SAM/SAH)	codeine = 3-O-methylmorphine
rxn02627	methyl (SAM/SAH)	explicit 6-O-demethylating enzyme, formula matches CH2
rxn02964	methyl (SAM/SAH)	N-demethylation, methylaminoethylphosphonate -> ciliatine
rxn03081	SKIP	quinone/lumazine redox tautomer chem, not a clean methyl pair
rxn03280	SKIP	chlorophyll phytylation/Mg chemistry, not methylation
rxn03370	methyl (SAM/SAH)	explicit methylamino -> dimethylamino
rxn03475	methyl (SAM/SAH)	known thebaine 6-O-demethylase step to neopinone
rxn03476	methyl (SAM/SAH)	known thebaine 3-O-demethylase step to oripavine
rxn03480	methyl (SAM/SAH)	N-methylpelletierine -> pelletierine, N-demethylation
rxn04116	SKIP	deacetyl/demethyl compound-family mismatch, unclear
rxn04117	methyl (SAM/SAH)	explicit demethylalangiside <- alangiside
rxn04118	SKIP	deacetyl/demethyl compound-family mismatch, unclear
rxn04119	methyl (SAM/SAH)	explicit demethylisoalangiside <- isoalangiside
rxn04403	methyl (SAM/SAH)	peonidin = methylcyanidin, anthocyanin O-methylation
rxn04404	methyl (SAM/SAH)	petunidin = methyldelphinidin glycoside
rxn04486	methyl (SAM/SAH)	explicit 8-O-methyltetrangulol -> tetrangulol
rxn04489	methyl (SAM/SAH)	explicit O-methyl variant pair
rxn04506	SKIP	angucycline oxidative cyclization, not a methyl pair
rxn04517	SKIP	product name uninformative, can't confirm methyl relation
rxn04533	methyl (SAM/SAH)	tetracenomycin B3->D3, known TcmO O-methylation step
rxn04534	SKIP	tetracenomycin B3/E relation unclear, no explicit methyl signal
rxn04538	methyl (SAM/SAH)	explicit methylester of tetracenomycin F1
rxn04541	methyl (SAM/SAH)	explicit methylester of tetracenomycin D3
rxn04545	SKIP	tetracenomycin B3/B2 relation unclear, no explicit methyl signal
rxn04552	SKIP	glycosyltransferase (dTDP-olivose transfer), not methylation
rxn04569	methyl (SAM/SAH)	nicotine -> nornicotine, known N-demethylation
rxn04799	methyl (SAM/SAH)	explicit methane loss = demethylation of rifamycin W
rxn04801	methyl (SAM/SAH)	explicit demethyl-desacetyl-rifamycin S
rxn05134	methyl (SAM/SAH)	DIMBOA/TRIBOA benzoxazinoid demethylation
rxn06878	SKIP	decarboxylating acyl-CoA condensation, not methylation
rxn07089	SKIP	pectin methylesterase hydrolase, incomplete/generic reaction
rxn07313	SKIP	sterol ring cyclization step, not a clear methyl-transfer pair
rxn07316	SKIP	sterol pathway isomerization, not a clear methyl-transfer pair
rxn07321	SKIP	sterol pathway isomerization, not a clear methyl-transfer pair
rxn07327	methyl (SAM/SAH)	explicit 4-methylzymosterol -> zymosterol
rxn07339	methyl (SAM/SAH)	tocopherol O-methylation (beta- vs alpha-/Vitamin E)
rxn07508	methyl (SAM/SAH)	explicit methoxy- vs hydroxy-anthracenediol
rxn07531	methyl (SAM/SAH)	glycitein = methoxyisoflavone, known GMT chemistry
rxn07536	methyl (SAM/SAH)	explicit methoxy- vs trihydroxyisoflavanone
rxn07564	methyl (SAM/SAH)	pisatin synthase methylates hydroxymaackiain, known
rxn07733	methyl (SAM/SAH)	explicit paraxanthine -> 1-methylxanthine
rxn07802	methyl (SAM/SAH)	homoeriodictyol = methylether of eriodictyol
rxn07819	methyl (SAM/SAH)	pinostrobin = methylether of pinocembrin
rxn07821	methyl (SAM/SAH)	chalcone-stage analog of eriodictyol/homoeriodictyol pair
rxn10680	SKIP	trehalose acyl-sulfonation chemistry, not methylation
rxn10712	SKIP	fatty-acid-synthase chain elongation (methylmalonyl-CoA extender)
rxn10739	SKIP	fatty-acid-synthase chain elongation (methylmalonyl-CoA extender)
rxn11089	SKIP	nucleoside phosphorylase reaction, thymine/uracil mismatch coincidental
rxn11533	methyl (SAM/SAH)	methyl farnesoate = methylester of farnesoic acid, known JHAMT
rxn11792	methyl (SAM/SAH)	explicit codeine -> norcodeine N-demethylation
rxn11793	methyl (SAM/SAH)	explicit morphine -> normorphine N-demethylation
rxn11796	methyl (SAM/SAH)	explicit tamoxifen -> N-desmethyltamoxifen
