query_id,query_ec,query_center,vanilla_top1_correct,vanilla_majority_ec,vanilla_majority_confidence,vanilla_n_annotated_neighbours,vanilla_majority_correct,vanilla_predicted_ecs,vanilla_n_predicted_ecs,vanilla_precision,vanilla_recall,vanilla_f1,vanilla_topk_hit,vanilla_center_purity,vanilla_mean_tanimoto,vanilla_cos_mean,prefilter_top1_correct,prefilter_majority_ec,prefilter_majority_confidence,prefilter_n_annotated_neighbours,prefilter_majority_correct,prefilter_predicted_ecs,prefilter_n_predicted_ecs,prefilter_precision,prefilter_recall,prefilter_f1,prefilter_topk_hit,prefilter_center_purity,prefilter_mean_tanimoto,prefilter_cos_mean
rxn00001,['3.6.1.1'],"['O', 'O', 'OH2', 'P', 'P']",False,3.6.1.15,0.2222222222222222,18,False,['3.6.1.15'],1,0.0,0.0,0.0,False,0.06666666666666667,0.767241379310345,0.9305729269981384,False,7.1.3.1,0.5,2,False,"['7.1.3.1', '3.6.1.1']",2,0.5,1.0,0.6666666666666666,True,1.0,1.0,0.30766502022743225
rxn00002,['3.5.1.54'],"['C', 'C', 'NH', 'NH2', 'O-', 'OH2']",False,3.5.1.110,0.1,10,False,[],0,0.0,0.0,0.0,False,0.0,0.8538756976154237,0.8882431387901306,True,3.5.1.54,1.0,1,True,['3.5.1.54'],1,1.0,1.0,1.0,True,1.0,1.0,-1.0
rxn00003,['2.2.1.6'],"['C', 'C', 'C', 'O', 'OH']",True,4.1.3.17,0.19047619047619047,21,False,[],0,0.0,0.0,0.0,True,0.03333333333333333,0.22486591435833927,0.8638420701026917,True,2.2.1.6,1.0,2,True,"['2.2.1.6', '4.1.3.18']",2,0.5,1.0,0.6666666666666666,True,1.0,0.6915422885572139,0.10037263482809067
rxn00004,['4.1.3.17'],"['C', 'CH2', 'OH']",True,4.1.3.17,0.13043478260869565,23,True,[],0,0.0,0.0,0.0,True,0.1,0.3216514128371211,0.9060672521591187,True,5.4.4.-,0.2727272727272727,22,False,['5.4.4.-'],1,0.0,0.0,0.0,True,1.0,0.3150610117046948,0.7888461351394653
rxn00006,"['1.11.1.21', '1.11.1.6']","['OH', 'OH', 'OH', 'OH']",False,1.11.2.1,0.23076923076923078,13,False,['1.11.2.1'],1,0.0,0.0,0.0,False,0.0,0.5327380952380952,0.9103704690933228,False,1.11.1.21,1.0,1,True,"['1.11.1.21', '1.11.1.6']",2,1.0,1.0,1.0,True,1.0,1.0,-0.09476590156555176
rxn00007,['3.2.1.28'],"['CH', 'CH', 'CH', 'CH', 'CH', 'CH', 'O', 'OH2']",True,3.2.1.108,0.3181818181818182,22,False,['3.2.1.108'],1,0.0,0.0,0.0,True,0.3,1.0,0.9855517148971558,True,3.2.1.28,0.13333333333333333,15,True,[],0,0.0,0.0,0.0,True,1.0,1.0,0.9635747671127319
rxn00008,['1.11.1.13'],"['OH2', 'OH2']",False,1.11.2.1,0.23076923076923078,13,False,"['1.11.2.1', '1.11.1.10']",2,0.0,0.0,0.0,True,0.0,0.13333333333333333,0.9503406882286072,True,1.11.1.13,1.0,1,True,['1.11.1.13'],1,1.0,1.0,1.0,True,1.0,1.0,-1.0
rxn00009,['2.7.7.45'],"['O', 'OH', 'P', 'P']",False,2.7.7.-,0.1111111111111111,18,False,[],0,0.0,0.0,0.0,False,0.1,0.685271684684655,0.9388371109962463,False,2.7.7.-,0.16666666666666666,6,False,[],0,0.0,0.0,0.0,True,1.0,0.7352176112803704,0.6682702302932739
rxn00425,"['5.1.1.10', '5.1.1.18']",['CH'],False,5.1.1.-,0.2,5,False,"['5.1.1.-', '5.-.-.-', '5.1.2.M1', '5.1.1.3', '5.1.1.7', '5.1.1.13']",6,0.0,0.0,0.0,False,0.23333333333333334,0.4710608986750892,0.9919763803482056,False,5.1.1.10,0.13636363636363635,22,True,[],0,0.0,0.0,0.0,True,1.0,0.393641983911171,0.986395537853241
rxn00426,['4.3.1.17'],"['CH', 'CH2', 'OH']",False,4.2.1.3,0.25,12,False,['4.2.1.3'],1,0.0,0.0,0.0,False,0.36666666666666664,0.25624844746792835,0.9447620511054993,False,4.2.1.59,0.25,8,False,['4.2.1.59'],1,0.0,0.0,0.0,False,1.0,0.1660387832115671,0.9315293431282043
rxn00427,"['1.11.1.21', '1.11.1.6', '1.11.1.7']","['CH3', 'OH', 'OH', 'OH']",False,1.11.1.6,0.18181818181818182,11,True,[],0,0.0,0.0,0.0,True,0.0,0.3895238095238095,0.8832659125328064,True,1.11.1.21,1.0,1,True,"['1.11.1.21', '1.11.1.6', '1.11.1.7']",3,1.0,1.0,1.0,True,1.0,1.0,-1.0
rxn00428,['4.5.1.3'],"['CH2', 'Cl', 'Cl', 'OH2']",False,1.1.2.7,0.25,8,False,['1.1.2.7'],1,0.0,0.0,0.0,False,0.0,0.3060645801280476,0.8346341848373413,True,4.5.1.3,1.0,1,True,['4.5.1.3'],1,1.0,1.0,1.0,True,1.0,1.0,-1.0
rxn00429,['1.2.1.46'],"['C', 'CH', 'CH', 'CH', 'CH', 'CH2', 'N+', 'OH2']",False,1.1.1.71,0.2727272727272727,22,False,['1.1.1.71'],1,0.0,0.0,0.0,False,0.0,0.940928270042194,0.9389111995697021,False,1.17.1.1,0.5,6,False,"['1.17.1.1', '1.17.1.8']",2,0.0,0.0,0.0,True,1.0,1.0,0.5164192318916321
rxn00430,['1.1.1.244'],"['C', 'CH', 'CH', 'CH', 'CH', 'CH3', 'N+', 'OH']",False,1.1.1.71,0.19047619047619047,21,False,[],0,0.0,0.0,0.0,False,0.03333333333333333,0.9071729957805907,0.9744401574134827,False,1.1.1.71,0.5,2,False,"['1.1.1.71', '1.1.1.244']",2,0.5,1.0,0.6666666666666666,True,1.0,1.0,-0.0015345513820648193
rxn00431,['1.4.99.3'],"['CH3', 'NH3+', 'OH2']",False,1.1.2.7,0.2857142857142857,7,False,['1.1.2.7'],1,0.0,0.0,0.0,False,0.0,0.19386363636363638,0.8648771047592163,True,1.4.99.3,1.0,1,True,['1.4.99.3'],1,1.0,1.0,1.0,True,1.0,1.0,-1.0
rxn00432,['1.1.3.13'],"['CH3', 'O', 'O', 'OH']",False,1.11.1.6,0.25,12,False,['1.11.1.6'],1,0.0,0.0,0.0,False,0.0,0.3919047619047618,0.8501673936843872,True,1.1.3.13,1.0,1,True,['1.1.3.13'],1,1.0,1.0,1.0,True,1.0,1.0,-1.0
rxn00384,['3.1.6.3'],"['O', 'OH2', 'S']",True,3.1.6.1,0.13043478260869565,23,False,[],0,0.0,0.0,0.0,True,0.5,0.8964535940883496,0.8551581501960754,False,3.1.6.1,0.21052631578947367,19,False,['3.1.6.1'],1,0.0,0.0,0.0,True,1.0,1.0,0.7452301979064941
